,Name,Type,CompositionElements,ActiveSpeciesElements,SupportMaterial,ConversionTypes,DeactivationRates,FeedCompositionAndRatios,ReactionTemperature,InletFlowRate,CatalystLoadingOrGHSV,TypeIdentify,FeedGasComposition,ContainsOxidizingAgent,Enhancement,Selectivity,StructureType,PreparationMethod,PromoterElements,StabilityOriginal,ConvertedStability,PropanePartialPressure,PropyleneYield,PropaneProductionRate,PropaneConversion,ThermalConductivity,PropeneYield,PropeneProductionRate,TurnoverFrequency,DOI,Year,ConversionRate
433,MoO3/La2O3-γAl2O3,Metal Oxide,"Mo, La, Al, O",Mo,Aluminum Oxide,{'Propane conversion': '56%'},,1:2 (C3H8:CO2),823.15,,0.2 g,ODH,"C3H8, CO2",True,"{'Selectivity': 'Structural Composition', 'Conversion': 'Process Conditions'}",63.0,,,La,,,,35.3,,,,,,,10.1016/j.jcou.2020.101329,2020.0,56.0
434,Ga2O3/HZSM-48,Metal Oxide,"Ga, O",Ga,Zeolites,{'propane conversion': '52.6%'},,"2.5 vol% propane, 5 vol% CO2, balance N2",873.15,20.0,,ODH,"Propane, CO2, N2",True,"{'Selectivity': 'Support material', 'Stability': 'CO2 addition'}",42.2,,,,,,,22.2,,,,,,,10.1016/j.jiec.2011.11.134,2012.0,52.6
435,Pt/0.5Mn-DMSN,Alloy,"Pt, Mn",Pt,Silica Oxide,{'Propane conversion': '47%'},0.07 h-1,C3H8:N2 = 1:2,793.15,12.0,9.4 h-1,PDH,"C3H8, N2",False,"{'Stability': 'Structural Composition', 'Conversion': 'Catalyst Preparation Method'}",99.3,Nanoparticulate Alloys,Impregnation Methods,Mn,0.07 h-1,0.07,,46.0,8.1 mol g-1Pt h-1,,,,,,10.1016/j.jcat.2020.06.016,2020.0,47.0
436,Ceria-vanadia core-shell redox catalyst,Metal Oxide,"V, Ce",V,Aluminum Oxide,{'Propane conversion': '49%'},0.04 h-1,C3H8/N2 = 0.25,873.15,,GHSV = 2500 h-1,ODH,"Propane, Nitrogen",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",93.5,,,,43.6% propylene yield over 300 cycles,,,43.6,42.5 mmol/gcat/h,,,,,,10.1038/s41467-023-38284-0,2023.0,49.0
437,Ga2O3/MoO3,Metal Oxide,"Ga, Mo","Ga, Mo",,{},,propane:oxygen,733.0,,,ODH,"propane, oxygen",True,"{'Conversion': 'Reactor design', 'Selectivity': 'Reactor design'}",,,,,,,,,,,,,,,10.1016/j.ces.2010.08.037,2010.0,
438,5% Zn/Silicalite-1,Metal Oxide,Zn,Zn,Silica Oxide,{'Propane conversion': '49%'},,"5% C3H8, 95% Ar",823.15,25.0,5000 mL/gcat/h,PDH,"Propane, Argon",False,"{'Conversion': 'Support material', 'Selectivity': 'Support material', 'Stability': 'Support material'}",90.0,,,,Stable for 6 h,,,44.0,,,,,,,10.1002/cctc.202101069,2021.0,49.0
439,Iron carbide (Fe3C),Metal,"Fe, C",Fe,,{'Propane conversion': '20%'},,,873.15,,,PDH,"Propane, Hydrogen",False,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",80.0,,,P,,,,,,,,,,,10.1039/d0cp04669h,2021.0,20.0
440,Chromium-loaded calcium-hydroxyapatite (Cr(x)/CaHAp),Metal Oxide,"Cr, Ca, P, O, H",Cr,Others,{'Propane conversion': '18%'},20% decrease over 100 min at 550°C,"6 vol.% propane, 3 vol.% oxygen, 91 vol.% nitrogen",698.15,60.0,40 mg catalyst,ODH,"Propane, Oxygen, Nitrogen",True,"{'Conversion': 'Initial presence of Cr6+ species', 'Selectivity': 'Isolated Cr3+ species'}",40.0,,,,,,,7.0,,,,,,,10.1016/j.apcata.2009.01.005,2009.0,18.0
441,Sn-Beta zeolite,Single Atom,"Sn, Si, O",Sn,Zeolites,{'Propane conversion': '40%'},,20 mol% C3H8/80 mol% N2,903.15,20.0,1 g catalyst,PDH,"Propane, Nitrogen",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92.0,,,,72 h,72.0,,37.0,,,,,,,10.1016/j.jcat.2020.12.019,2021.0,40.0
442,Sodium-promoted vanadia on silica,Metal Oxide,"V, O, Si, Na",V,Silica Oxide,{'Propane conversion': '6.5%'},,,763.15,,110 kg-cat s m-3,ODH,"O2, C3H8, N2",True,"{'Conversion': 'Catalyst composition', 'Stability': 'Catalyst composition'}",66.0,,,Na,4.5 days,108.0,,,,,,,,,10.1021/acscatal.5b01679,2015.0,6.5
443,Metal-coated monolith (MCM) catalyst,Metal,"Co, Pd, La","Co, Pd, La",Zeolites,{'Styrene conversion': '100%'},,,,,,ODH,"Air, H2O, Styrene",False,"{'Conversion': 'Composition', 'Selectivity': 'Composition'}",83.0,,,,,,,,,,,,,,10.1016/j.jece.2021.105780,2021.0,100.0
444,2.5CrSiZr,Metal Oxide,"Cr, Si, Zr",Cr,Others,{'Propane conversion': '35%'},Moderate rate of deactivation due to coking,"1.9% propane, 98.1% helium",723.0,,260 mg,PDH,"Propane, Helium",False,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",95.0,,,,7 hours,1.0,,95.0,3.2 mmol/g.h,,,,,,10.1016/S0021-9517(03)00141-6,2003.0,35.0
445,Au-Pt/MgAlOx,Alloy,"Au, Pt",Pt,Oxides,{'propane conversion': '19.5%'},,H2/C3H8 = 0.25,823.15,,8 g/(gcath),PDH,"Propane, Hydrogen",False,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition'}",99.0,Nanoparticulate Alloys,Impregnation Methods,,5 h,0.2,,,,,,,,,10.1016/j.cattod.2021.04.003,2021.0,19.5
446,Zn/HZSM-5,Metal,Zn,Zn,Zeolites,{'Single-pass conversion': '56.13%'},0.2%/min,Glycerol trioleate only,788.15,,WHSV 2.7 h-1,PDH,N2,False,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",96.0,,,,300 min,,,56.13,,,,,,,10.1021/acsomega.2c02011,2022.0,56.13
447,Fe-MFI,Metal Oxide,Fe,Fe,Zeolites,{'Propane conversion': '10-30%'},9.5% coke after 240 min,"7.5% C3H8, 15% N2O, Balance He",573773.0,50.0,"15,000 h-1",ODH,"C3H8, N2O, He",True,"{'Selectivity': 'Acid treatment', 'Conversion': 'Acid treatment', 'Stability': 'Catalyst regeneration'}",90.0,,,,240 min,,,25.0,,,,,,,10.1039/c3cy20782j,2013.0,30.0
448,Cr2O3/CMK-3,Metal Oxide,Cr,Cr,Carbon-based,{'propane conversion': '47.4%'},47.4% conversion loss after 4 h time-on-stream,C3H8:He = 1:14,823.15,30.0,WHSV = 1.2 h-1,PDH,"C3H8, He",False,"{'Conversion': 'Support Material', 'Selectivity': 'Active Species'}",84.7,,,,gradual decrease with time-on-stream,,,40.1,,,,,,,10.1016/j.apcata.2015.10.002,2015.0,47.4
449,Hierarchical silica-Pt nanotubes,Alloy,"Pt, SiO2",Pt,Silica Oxide,{'Propane conversion': '22.9%'},"12.4%, 8.5%",n(H2)/n(C3H8) = 0.25,863.15,,3.0 h-1,PDH,"Propane, Hydrogen",False,"{'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",,Nanoparticulate Alloys,In Situ Synthesis,,,,,,,,,,,,10.1021/acssuschemeng.6b02368,2017.0,22.9
450,0.50 wt% Pt/Mg(Sn)(Al)O@Al2O3,Alloy,"Pt, Sn",Pt,Aluminum Oxide,{'Propane conversion': '48%'},0.0045 h-1,C3H8/H2/Ar = 1/0.5/2,873.15,,WHSV = 14 h-1,PDH,"C3H8, H2, Ar",False,"{'Stability': 'Interactions between Pt and lattice-confined Sn sites', 'Selectivity': 'Weak propene adsorption due to electron donation from Sn to Pt'}",99.0,Others,Chemical Methods,Sn,0.0045 h-1,0.0045,,98.0,,,,,,,10.1021/acscatal.7b02264,2017.0,48.0
451,Pt/Mg(Al)O,Metal,Pt,Pt,Others,{'propane conversion': '11.5%'},31.2 molC molPt surface-1 (after 5 min TOS),H2/C3H8 = 1.25,873.0,60.0,0.03 molPt surface sites/kgcat,PDH,"C3H8, H2, He",False,"{'Conversion': 'Increased hydrogen partial pressure', 'Stability': 'Decreased coke formation'}",79.0,,,,,,,,,,,,,,10.1021/acscatal.7b01584,2017.0,11.5
452,Mo-V-O mixed oxides,Metal Oxide,"Mo, V, O",V,Aluminum Oxide,{'Propane conversion': '36%'},,C3H8/He = 1/1,773.15,,,ODH,"C3H8, He",False,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",89.0,,,Mo,100 cycles,,,32.0,6.9 mol C3H6/kg-cat/h,,,,,,10.1021/jacs.9b09235,2019.0,36.0
453,(PtSn)A,Alloy,"Pt, Sn","Pt, Sn",Aluminum Oxide,{'Propane conversion': '30.2%'},7.2-14.6%,3:2 C3H8:H2,873.0,,"22,500 mL gcat-1 h-1",PDH,"C3H8, H2",False,"{'Conversion': 'Catalyst preparation method', 'Selectivity': 'Catalyst preparation method', 'Stability': 'Catalyst preparation method'}",93.0,Nanoparticulate Alloys,Impregnation Methods,,5-15 h,0.2,,25.7,,,,,,,10.1016/j.cattod.2017.02.027,2017.0,30.2
454,VOX/Al2O3 modified with boric acid,Metal Oxide,"V, O, Al, B","V, O",Aluminum Oxide,{'propane conversion': '79-82%'},31% after 7 h,"N2:C3H8 95:5, N2:C3H8 = 95:5",873.15,30.0,0.5 g,PDH,"N2, C3H8",False,"{'Selectivity': 'Promoter addition', 'Stability': 'Promoter addition'}",75.0,,,B,7 h,0.14,,61.5,30 mL/min,,,,,,10.1016/j.cattod.2022.04.015,2022.0,82.0
455,Pt-Sn/MgAl2O4,Alloy,"Pt, Sn","Pt, Sn",Oxides,{'propane conversion': '10-40%'},0.5-2 %/h,C3H8:Ar = 1:9 to 1:1,810.65,,15-35 g cat min/mmol C3H8,PDH,"C3H8, Ar",False,"{'Conversion': 'Reactor Design', 'Selectivity': 'Reactor Design', 'Stability': 'Reactor Design'}",95.0,Nanoparticulate Alloys,Impregnation Methods,,,,,38.0,,,,,,,10.3390/membranes3020069,2013.0,40.0
456,GaPt-SCALMS,Alloy,"Ga, Pt",Pt,Silica Oxide,{'Propane conversion': '7.8-19.2%'},0.049-0.11 h-1,,823.15,,4900 mLgas gCat.bed-1 h-1,PDH,"Propane, Helium",False,"{'Conversion': 'Preparation Method', 'Selectivity': 'Structural Composition', 'Stability': 'Support Material'}",99.9,Single-atom Alloys,Physical Methods,Ga,14 h,0.072,,,,,,,,,10.1021/acscatal.1c01924,2021.0,19.2
457,0.5Pt0.5Ce/Beta-557,Alloy,"Pt, Ce","Pt, Ce",Zeolites,{'propane conversion': '42.2%'},0.013 h-1,"2.5% C3H8, 2.5% H2, Ar",823.15,40.0,,PDH,"C3H8, H2, Ar",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",91.9,Nanoparticulate Alloys,Impregnation Methods,,0.013 h-1,0.013,,35.7,,,,,,,10.1016/j.ces.2023.118450,2023.0,42.2
458,BN-T,Metal Oxide,"B, N",B,,{'propane conversion': '43%'},,C3H8:O2:He = 2.5:2.5:balance,873.15,30.0,100 mg,ODH,"C3H8, O2, He",True,{'Conversion': 'Catalyst preparation method'},75.0,,,,,,,,,,,,,,10.1021/acs.accounts.2c00564,2023.0,43.0
459,10 wt% In2O3/ZrO2,Metal Oxide,"In, O, Zr",In,Others,{'Propane conversion': '84%'},No decline observed,"C3=/H2=20/20, O2/H2=10/20, 0.6 air/propane",823.15,,0.1 g catalyst,ODH,"Propane, Propylene, Hydrogen, Oxygen, Air",True,"{'Selectivity': 'Composition', 'Conversion': 'Process Conditions', 'Stability': 'Support Material'}",99.7,,,,100+ h,100.0,,33.0,,,,,,,10.1016/S0926-860X(99)00224-0,1999.0,84.0
460,6V/UiO-66,Metal Oxide,"V, Zr",V,MOFs,{'propane conversion': '17.1%'},,"C3H8/O2 = 1, C3H8/O2 = 2, C3H8/O2 = 3",623.15,120.0,0.1 g,ODH,"Propane, Oxygen",True,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition', 'Propylene productivity': 'Support confinement effects'}",49.7,,,,,,,,,,,,,,10.1016/j.jcis.2022.09.086,2023.0,17.1
461,0.3Pt/0.5Sn-Si-beta,Alloy,"Pt, Sn",Pt,Silica Oxide,{'propane conversion': '27.1%'},0.04 h-1 (550°C),C3H8:N2 = 1:19,823.15,20.0,"100 mg catalyst, WHSV 1.0 h-1",PDH,"C3H8, N2",False,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",99.0,Nanoparticulate Alloys,Impregnation Methods,Sn,24 h,1.0,,99.0,2.3 mol g-1Pt h-1 (550°C),,,,,,10.1039/c9cy01907c,2019.0,27.1
462,Pt-Sn-SBA-15,Alloy,"Pt, Sn",Pt,Silica Oxide,{'propane conversion': '16%'},4% loss (220 min),C3H8:H2 - 8:13 vol%,793.0,150.0,47 gpropane/gcat-h,PDH,"C3H8, H2",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",99.0,Nanoparticulate Alloys,Impregnation Methods,Sn,220 min,3.7,,99.0,,,,,,,10.1016/j.cattod.2009.01.002,2009.0,16.0
463,Pt3Ti intermetallic nanoparticles,Alloy,"Pt, Ti",Pt,Others,{'propane conversion': '15%'},,"2.5% C3H8, 2.5% H2 balanced in N2",823.15,200.0,,PDH,"C3H8, H2, N2",False,{'Selectivity': 'Structural composition'},95.0,Intermetallic Compounds,Surface & Support Methods,,,,,,,,,,,,10.1038/s41467-018-07502-5,2018.0,15.0
464,Pt-Sn-K/γ-Al2O3,Alloy,"Pt, Sn, K, Al","Pt, Sn",Aluminum Oxide,{'propane conversion': '31-69%'},,1:1 C3H8:Ar,573873.0,,10-100 mg,PDH,"C3H8, Ar",False,{'Conversion': 'Catalyst composition'},,Nanoparticulate Alloys,Impregnation Methods,K,,,,,,,,,,,10.1016/j.ces.2009.09.007,2010.0,69.0
465,Oxidized carbon nanotubes,Others,C,O,Carbon-based,{},,,,,,ODH,"Propane, Oxygen",True,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition'}",,,,,,,,,,,,,,,10.1016/S1872-2067(12)60627-5,2013.0,
466,V-A-G,Metal Oxide,V,V,Carbon-based,{'propane conversion': '47.02%'},,C3H8/air molar ratio of 0.5,723.15,60.0,0.5 g,ODH,"C3H8, Air",True,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",53.93,,,,,,,26.27,,,,,,,10.1039/c4cy01108b,2015.0,47.02
467,Pt/alumina catalyst,Metal,Pt,Pt,Aluminum Oxide,{'propane conversion': 'N/A'},,"H2S:C3H8 1:10, H2S:C3H8 10:1",873.0,,,PDH,"Propane (C3H8), Hydrogen sulfide (H2S)",False,{'Selectivity': 'Structural composition'},,,,,,,,,,,,,,,10.1006/jcat.1994.1333,1994.0,
468,Cs-Cr-Mo-Al-O,Metal Oxide,"Cs, Cr, Mo, Al, O","Cr, Mo",Aluminum Oxide,{'Propane conversion': '8%'},,Propane:Oxygen:Helium,593.15,75.0,1 g catalyst,ODH,"Propane, Oxygen, Helium",True,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",100.0,,,Cs,,,54.715500000000006,100.0,,,,,,,10.1016/j.cej.2004.03.006,2004.0,8.0
469,Hierarchical Ni-Al LDH platinum nanocatalyst (LDH-Pt),Alloy,"Ni, Al, Pt",Pt,Oxides,{'Propane conversion': '16.75%'},23.9%,n(H2)/n(C3H8) = 0.25,863.15,,Propane WHSV = 3.0 h-1,PDH,"Propane, Hydrogen",False,{'Stability': 'Structural composition'},,Nanoparticulate Alloys,In Situ Synthesis,,7 h,7.0,,,,,,,,,10.1039/c7nj01767g,2017.0,16.75
470,PtSn-LaX,Alloy,"Pt, Sn, La","Pt, Sn",Aluminum Oxide,{'Propane conversion': '34%'},,,873.15,80.0,,PDH,Propane,False,"{'Stability': 'Structural Composition', 'Selectivity': 'Structural Composition'}",84.0,Nanoparticulate Alloys,Impregnation Methods,La,800 min,13.3,,,,,,,,,10.3390/catal10091042,2020.0,34.0
471,1Pt1In/SBA-15,Alloy,"Pt, In","Pt, In",Silica Oxide,{'propane conversion': '57.06%'},17.43% (28 h),C3H8:H2:N2 = 4:1:15,823.15,100.0,12 L/h/gcat,PDH,"C3H8, H2, N2",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",99.04,Nanoparticulate Alloys,Impregnation Methods,,28 h,1.0,,99.8,,,,,,,10.1016/j.cattod.2022.05.044,2023.0,57.06
472,Zn-modified HZSM-5,Metal Oxide,"Zn, Si, Al",Zn,Zeolites,{'Propane conversion': '50%'},,,873.0,,2 h-1,PDH,Propane,False,"{'Selectivity': 'Catalyst composition', 'Conversion': 'Acidity'}",29.0,,,,,,,,,,,,,,10.3390/catal11101138,2021.0,50.0
473,Cr/Zn-Al2O3,Metal Oxide,"Cr, Zn, Al",Cr,Aluminum Oxide,{'propane conversion': '57%'},,,883.15,4.8,,PDH,propane,False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",91.0,,,Zn,,,,52.0,,,,,,,10.1016/j.apcata.2022.118610,2022.0,57.0
474,Gallium oxynitride,Metal Oxide,"Ga, O, N","Ga, O, N",,{'N/A': 'N/A'},,,573.15,,,ODH,"Propane, Nitrogen",False,{'Conversion': 'Structural Composition'},,,,,,,,,,,,,,,10.1016/j.snb.2006.05.001,2007.0,
475,Isolated Pt atoms anchored in ≡SiOZn-OH nests in dealuminated Zeolite Beta,Single Atom,"Pt, Zn",Pt,Aluminum Oxide,{'Propane conversion': '32%'},0.004 h-1,C3H8:He = 1:3,823.0,,"29,500 h-1",PDH,"C3H8, He",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition', 'Conversion': 'Structural Composition'}",99.4,,,Zn,160 h,0.00625,25.3,99.4,692 mol C3H6/(g Pt×h×bar),,,,,,10.1021/jacs.1c10261,2021.0,32.0
476,Rhodium-Copper Single Atom Alloy,Single Atom,"Rh, Cu",Rh,Silica Oxide,{'Propane conversion': '100%'},,"1.4 kPa propane, 0.7 kPa hydrogen",623.0,90.0,,PDH,"Propane, Hydrogen",False,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",100.0,Single-atom Alloys,Others,,50 hours,50.0,1.4,,,,,,,,10.1126/science.abg8389,2021.0,100.0
477,PtIn/Mg(Al)O/ZnO,Alloy,"Pt, In","Pt, In",Others,{'Propane conversion': '51%'},,C3H8:H2:N2 = 8:7:35,873.15,62.0,WHSV = 3 h-1,PDH,"C3H8, H2, N2",False,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",97.0,Nanoparticulate Alloys,Impregnation Methods,In,30 h,30.0,,,,,,,,,10.3390/catal10050485,2020.0,51.0
478,Ir-Sn/SiO2,Alloy,"Ir, Sn",Ir,Silica Oxide,{'propane conversion': '18%'},,,773.0,,,PDH,propane,False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",95.0,Nanoparticulate Alloys,Impregnation Methods,Sn,negligible loss of activity,,,,,,,,,,10.1039/c3dt51144h,2013.0,18.0
479,CeO2,Metal Oxide,"Ce, O","Ce, O",,{'Propane conversion': '42%'},,,800.0,,,PDH,"C3H8, HBr",False,"{'Conversion': 'Addition of HBr', 'Selectivity': 'Addition of HBr'}",90.0,,,Br,,,,,,,,,,,10.1039/d2cp00733a,2022.0,42.0
480,B2O3 supported on SiO2,Metal Oxide,"B, O, Si","B, O",Silica Oxide,{'Propane conversion': '10%'},,,475.0,40.0,25 mg,ODH,"Propane, Oxygen, Nitrogen",True,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",80.0,,,,,,,,,,,,,,10.1016/j.cattod.2023.114048,2023.0,10.0
481,Niobium- and Tantalum-Doped Pt-Sn/Al2O3,Alloy,"Pt, Sn, Nb, Ta","Pt, Sn",Aluminum Oxide,{'propane conversion': '98%'},0.02% h-1,C3H8/O2/He = 1/1/8,823.15,30.0,"30,000 h-1",ODH,"C3H8, O2, He",True,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",84.0,Nanoparticulate Alloys,Impregnation Methods,"Nb, Ta",120 h,0.0083,,82.0,,,,,,,10.1002/cplu.202200405,2023.0,98.0
482,Pt-Sn/γ-Al2O3,Alloy,"Pt, Sn",Pt,Aluminum Oxide,{'propane conversion': '78%'},,C3H8/O2/He = 1/1/8,773.15,120.0,0.2 g,ODH,"C3H8, O2, He",True,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",93.0,Single-atom Alloys,Impregnation Methods,Sn,320 h,0.0031,,72.5,2.4 molC3H8 gcat-1 h-1,,,,,,10.1021/jp4076405,2013.0,78.0
483,PtFe/SiO2,Alloy,"Pt, Fe",Pt,Silica Oxide,{'propane conversion': '~15%'},8.25% after 10 h,C3H8/H2/Ar = 1/1/8,773.15,40.0,WHSV = 24 h-1,PDH,"C3H8, H2, Ar",False,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",99.9,Nanoparticulate Alloys,Impregnation Methods,Fe,83 h,0.012,,99.9,39.52 molpropylene gPt-1 h-1 (initial),,,,,,10.1039/d3cy00060e,2023.0,15.0
484,5ZnO/SiO2,Metal Oxide,"Zn, O",Zn,Silica Oxide,{'propane conversion': '27%'},0.030 h-1,,873.15,20.0,,PDH,"propane, hydrogen, argon",False,"{'Conversion': 'Particle size', 'Selectivity': 'Particle size', 'Stability': 'Particle size'}",95.0,,,,10 h,0.03,,,,,,,,,10.1039/d2cy02131e,2023.0,27.0
485,Ga/ZSM-5,Metal,Ga,"Ga+, GaO+",Zeolites,{'single-pass conversion': '2.3-6.2%'},24 to 5% over 30 min,5 vol% C3H8 in He,823.0,,11.7 h^-1,PDH,"C3H8, He",False,"{'Selectivity': 'Active species', 'Conversion': 'Active species', 'Stability': 'Active species'}",88.0,,,,90-150 min,0.011,,88.0,,,,,,,10.1016/j.jcat.2006.03.004,2006.0,6.2
486,PtIn/Mg(Al)O-4,Alloy,"Pt, In, Mg, Al, O",Pt,Others,{'propane conversion': '61.3%'},No deactivation in 12 h,H2:C3H8:Ar = 7:8:35,893.15,,0.3 g,PDH,"H2, C3H8, Ar",False,"{'Conversion': 'Catalyst composition and structure', 'Selectivity': 'Catalyst composition and structure', 'Stability': 'Catalyst composition and structure'}",95.0,Nanoparticulate Alloys,Impregnation Methods,In,12 h,12.0,,58.2,,,,,,,10.1016/j.cej.2015.09.046,2016.0,61.3
487,,Metal Oxide,"V, Mo, Nb, Te, O","V, Mo, Nb, Te",,{'Propane conversion': '60%'},,C3:O2 = 1:1,673.15,,,ODH,"Propane, Oxygen",True,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",90.0,,,,,,,,,,,,,,10.1016/j.apcata.2020.117914,2021.0,60.0
488,PtIn/Sn-SBA-15,Alloy,"Pt, In",Pt,Silica Oxide,{'propane conversion': '46.9%'},8.5% (after 7 h),C3H8:Ar = 1:4,853.15,30.0,WHSV = 4.05 h^-1,PDH,"C3H8, Ar",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",99.0,Nanoparticulate Alloys,Impregnation Methods,In,8 h,0.125,,99.0,,,,,,,10.1016/j.mcat.2021.112081,2022.0,46.9
489,Pt/Sn on alumina/silica filaments,Alloy,"Pt, Sn","Pt, Sn",Silica Oxide,{'Propane conversion': '30%'},,,845.65,,,PDH,Propane,False,"{'Selectivity': 'Narrow residence time distribution in microstructured reactor', 'Conversion': 'Hydrogen removal through palladium membrane'}",97.0,,Impregnation Methods,,,,,,,,,,,,10.1016/S0009-2509(02)00294-4,2002.0,30.0
490,Potassium-doped chromia/alumina catalyst,Metal Oxide,"Cr, K, Al",Cr,Aluminum Oxide,{'Propane conversion': '31.7%'},,,873.0,,0.2 g,PDH,"Propyne, Propane",False,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition'}",80.0,,,K,,,,,,,,,,,10.1016/j.apcata.2005.04.010,2005.0,31.7
491,MoS2/Zr-doped SiO2-Al2O3,Others,"Mo, S, Si, O, Al, Zr",MoS2,Aluminum Oxide,"{'Decalin conversion': '42.0%', 'Phenanthrene conversion': '78.6%'}",,Phenanthrene to decalin ratio 0.1,653.15,,,PDH,"Phenanthrene, Decalin",False,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition'}",,,,Zr,,,,,,,,,,,10.1016/j.cjche.2021.03.015,2021.0,
492,Ex-FeZSM-5,Metal Oxide,Fe,Fe,,"{'Propane conversion': '52%', 'N2O conversion': '86%'}",,C3H8:N2O:Ne=10:10:80,773.0,,3.5 x 10^-2 s g cm^-3,ODH,"C3H8, N2O, Ne",True,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",22.0,,,,100 min,1.67,,,,,,22%,,,10.1016/j.apcata.2004.03.003,2004.0,
493,Co-S-1-Ar,Metal Oxide,Co,Co,Silica Oxide,{'propane conversion': '27%'},0.001 h-1,"5% C3H8/Ar, 5% H2/Ar",823.15,10.0,0.050 g,PDH,"C3H8, H2, Ar",False,"{'Conversion': 'Oxygen-free calcination atmosphere', 'Selectivity': 'Oxygen-free calcination atmosphere', 'Stability': 'Oxygen-free calcination atmosphere'}",95.0,,,,600 min,0.001,,25.7,,,,,,,10.1016/j.mcat.2022.112580,2022.0,27.0
494,Sn/Al2O3-S,Metal Oxide,"Sn, Al, O",Sn,Aluminum Oxide,{'Propane conversion': '16%'},,C3H8:H2S - 11:1 to 1:0.1,833.15,,200 mg catalyst,PDH,"C3H8, H2, H2S, N2",False,"{'Selectivity': 'Structural composition', 'Stability': 'Catalyst preparation method and process conditions'}",98.0,,,,10 h,0.1,,98.0,1.5-2.35 x 10^-9 mol m^-2 s^-1,,,,,,10.1021/acscatal.1c02859,2021.0,16.0
495,Lead chromate (PbCrO4),Metal Oxide,"Pb, Cr","Pb, Cr",,{'Hydrogen conversion': '100%'},Drops to 25% of initial activity after 60 cycles,,823.15,,40 mg,ODH,"Propane, Propene, Hydrogen, Oxygen",True,"{'Selectivity': 'Composition', 'Conversion': 'Composition'}",100.0,,,,"After 60 cycles, drops to 25% of initial activity",,,,,,,,,,10.1039/b913994j,2009.0,100.0
496,Pt-Sn/Î¸-Al2O3,Alloy,"Pt, Sn","Pt, Sn",Aluminum Oxide,{'Propane conversion': '41.7-42.2%'},,C3H8:H2 = 1:1,893.0,64.0,,PDH,"C3H8, H2",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",93.6,Nanoparticulate Alloys,Impregnation Methods,,,,,39.5,,,,,,,10.1007/s11164-015-2300-2,2016.0,42.2
497,WO3/SiO2,Metal Oxide,W,W,Others,{'2-butene conversion': '68.8%'},,"4% 2-butene, 8% ethylene",623.0,,0.52 h-1,PDH,"2-Butene, Ethylene",False,"{'Conversion': 'Preparation Method', 'Selectivity': 'Preparation Method', 'Stability': 'Preparation Method'}",59.3,,,,12 h,12.0,,59.3,,,,,,,10.1039/c8ra01093e,2018.0,68.8
498,6 wt% V/TiO2,Metal Oxide,"V, Ti",V,Others,{'Propane conversion': '10-35%'},,"C3H8:O2 = 1:1, C3H8:O2 = 1:2, C3H8:O2 = 2:1",523.15,24.0,,ODH,"C3H8, O2, N2",True,{'Selectivity': 'Degree of vanadium reduction'},15.0,,,,,,,,,,,,,,10.1016/j.cattod.2005.11.006,2006.0,35.0
