Name,Type,CompositionElements,ActiveSpeciesElements,SupportMaterial,ConversionTypes,DeactivationRates,FeedCompositionAndRatios,ReactionTemperature,InletFlowRate,CatalystLoadingOrGHSV,TypeIdentify,FeedGasComposition,ContainsOxidizingAgent,Enhancement,Selectivity,StructureType,PreparationMethod,PromoterElements,StabilityOriginal,ConvertedStability,PropanePartialPressure,PropyleneYield,PropaneProductionRate,PropaneConversion,ThermalConductivity,PropeneYield,PropeneProductionRate,TurnoverFrequency,DOI,Year
Ceria-vanadia core-shell redox catalyst,Metal Oxide,"V, Ce",V,Al2O3,{'Propane conversion': '49%'},0.04 h-1,C3H8/N2 = 0.25,600℃,2500 h-1 GHSV,GHSV = 2500 h-1,ODH,"Propane, Nitrogen",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",93.5%,,,,43.6% propylene yield over 300 cycles,,,43.6%,42.5 mmol/gcat/h,,,,,,10.1038/s41467-023-38284-0,2023.0
Ga2O3/MoO3,Metal Oxide,"Ga, Mo","Ga, Mo",,{},,propane:oxygen,733 K,,,ODH,"propane, oxygen",Yes,"{'Conversion': 'Reactor design', 'Selectivity': 'Reactor design'}",,,,,,,,,,,,,,,10.1016/j.ces.2010.08.037,2010.0
5% Zn/Silicalite-1,Metal Oxide,Zn,Zn,Silicalite-1,{'Propane conversion': '49%'},,"5% C3H8, 95% Ar",550℃,25 mL/min,5000 mL/gcat/h,PDH,"Propane, Argon",No,"{'Conversion': 'Support material', 'Selectivity': 'Support material', 'Stability': 'Support material'}",90%,,,,Stable for 6 h,6,,44%,,,,,,,10.1002/cctc.202101069,2021.0
Iron carbide (Fe3C),Metal Carbide,"Fe, C",Fe,,{'Propane conversion': '20%'},,,873.15 K,,,PDH,"Propane, Hydrogen",No,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",80%,,,P,,,,,,,,,,,10.1039/d0cp04669h,2021.0
Chromium-loaded calcium-hydroxyapatite (Cr(x)/CaHAp),Metal Oxide,"Cr, Ca, P, O, H",Cr,Calcium-hydroxyapatite (CaHAp),{'Propane conversion': '18%'},20% decrease over 100 min at 550°C,"6 vol.% propane, 3 vol.% oxygen, 91 vol.% nitrogen",300-550°C,60 cm3/min,40 mg catalyst,ODH,"Propane, Oxygen, Nitrogen",Yes,"{'Conversion': 'Initial presence of Cr6+ species', 'Selectivity': 'Isolated Cr3+ species'}",40%,,,,,,,7%,,,,,,,10.1016/j.apcata.2009.01.005,2009.0
Sn-Beta zeolite,Single Atom,"Sn, Si, O",Sn,Zeolite Beta,{'Propane conversion': '40%'},,20 mol% C3H8/80 mol% N2,630℃,20 ml/min,1 g catalyst,PDH,"Propane, Nitrogen",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92%,,,,72 h,72 h-1,,37%,,,,,,,10.1016/j.jcat.2020.12.019,2021.0
Sodium-promoted vanadia on silica,Metal Oxide,"V, O, Si, Na",V,Silica Oxide,{'Propane conversion': '6.5%'},,,490 ℃,WHSV-1 110 kg-cat s/m3,110 kg-cat s m-3,ODH,"O2, C3H8, N2",Yes,"{'Conversion': 'Catalyst composition', 'Stability': 'Catalyst composition'}",66%,,,Na,4.5 days,108 h-1,,,,,,,,,10.1021/acscatal.5b01679,2015.0
Metal-coated monolith (MCM) catalyst,Metal,"Co, Pd, La","Co, Pd, La",ZSM-5,{'Styrene conversion': '100%'},,,,10 L/min,,ODH,"Air, H2O, Styrene",No,"{'Conversion': 'Composition', 'Selectivity': 'Composition'}",83%,,,,,,,,,,,,,,10.1016/j.jece.2021.105780,2021.0
2.5CrSiZr,Metal Oxide,"Cr, Si, Zr",Cr,Zirconia,{'Propane conversion': '35%'},Moderate rate of deactivation due to coking,"1.9% propane, 98.1% helium",723 K,,260 mg,PDH,"Propane, Helium",No,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",95%,,,,7 hours,1 h-1,,95%,3.2 mmol/g.h,,,,,,10.1016/S0021-9517(03)00141-6,2003.0
Au-Pt/MgAlOx,Alloy,"Au, Pt",Pt,MgAlOx (Mg-Al mixed oxide),{'propane conversion': '19.5%'},,H2/C3H8 = 0.25,550℃,,8 g/(gcath),PDH,"Propane, Hydrogen",No,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition'}",99%,Nanoparticulate Alloys,Impregnation Methods,,5 h,0.2 h-1,,,,,,,,,10.1016/j.cattod.2021.04.003,2021.0
Zn/HZSM-5,Metal,Zn,Zn,HZSM-5,{'Single-pass conversion': '56.13%'},0.2%/min,Glycerol trioleate only,515℃,,WHSV 2.7 h-1,PDH,N2,No,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",96%,,,,300 min,5 h,,56.13%,,,,,,,10.1021/acsomega.2c02011,2022.0
Fe-MFI,Metal Oxide,Fe,Fe,MFI zeolite,{'Propane conversion': '10-30%'},9.5% coke after 240 min,"7.5% C3H8, 15% N2O, Balance He",573-773 K,50 mL/min,"15,000 h-1",ODH,"C3H8, N2O, He",Yes,"{'Selectivity': 'Acid treatment', 'Conversion': 'Acid treatment', 'Stability': 'Catalyst regeneration'}",50-90%,,,,240 min,4 h,,14-25%,,,,,,,10.1039/c3cy20782j,2013.0
Cr2O3/CMK-3,Metal Oxide,Cr,Cr,CMK-3 carbon replica,{'propane conversion': '47.4%'},47.4% conversion loss after 4 h time-on-stream,C3H8:He = 1:14,550℃,30 cm3/min,WHSV = 1.2 h-1,PDH,"C3H8, He",No,"{'Conversion': 'Support Material', 'Selectivity': 'Active Species'}",84.7%,,,,gradual decrease with time-on-stream,,,40.1%,,,,,,,10.1016/j.apcata.2015.10.002,2015.0
Hierarchical silica-Pt nanotubes,Alloy,"Pt, SiO2",Pt,Silica Oxide,{'Propane conversion': '22.9%'},"12.4%, 8.5%",n(H2)/n(C3H8) = 0.25,590℃,,3.0 h-1,PDH,"Propane, Hydrogen",No,"{'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",,Nanoparticulate Alloys,In Situ Synthesis,,,,,,,,,,,,10.1021/acssuschemeng.6b02368,2017.0
0.50 wt% Pt/Mg(Sn)(Al)O@Al2O3,Alloy,"Pt, Sn",Pt,Mg(Sn)(Al)O@Al2O3,{'Propane conversion': '48%'},0.0045 h-1,C3H8/H2/Ar = 1/0.5/2,600℃,,WHSV = 14 h-1,PDH,"C3H8, H2, Ar",No,"{'Stability': 'Interactions between Pt and lattice-confined Sn sites', 'Selectivity': 'Weak propene adsorption due to electron donation from Sn to Pt'}",98-99%,Raft-like clusters,Reduction-followed calcination of Pt2+ loaded Sn-containing layered double hydroxides (LDHs),Sn,0.0045 h-1,0.0045 h-1,,98%,,,,,,,10.1021/acscatal.7b02264,2017.0
Pt/Mg(Al)O,Metal,Pt,Pt,Mg(Al)O,{'propane conversion': '11.5%'},31.2 molC molPt surface-1 (after 5 min TOS),H2/C3H8 = 1.25,873 K,1.0 mL/s,0.03 molPt surface sites/kgcat,PDH,"C3H8, H2, He",No,"{'Conversion': 'Increased hydrogen partial pressure', 'Stability': 'Decreased coke formation'}",79%,,,,,,,,,,,,,,10.1021/acscatal.7b01584,2017.0
Mo-V-O mixed oxides,Metal Oxide,"Mo, V, O",V,Alumina,{'Propane conversion': '36%'},,C3H8/He = 1/1,500℃,2500 h-1 GHSV,,ODH,"C3H8, He",No,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",89%,,,Mo,100 cycles,100,,32%,6.9 mol C3H6/kg-cat/h,,,,,,10.1021/jacs.9b09235,2019.0
(PtSn)A,Alloy,"Pt, Sn","Pt, Sn",Alumina,{'Propane conversion': '30.2%'},7.2-14.6%,3:2 C3H8:H2,873 K,"22,500 mL gcat-1 h-1","22,500 mL gcat-1 h-1",PDH,"C3H8, H2",No,"{'Conversion': 'Catalyst preparation method', 'Selectivity': 'Catalyst preparation method', 'Stability': 'Catalyst preparation method'}",93.0%,Nanoparticulate Alloys,Impregnation Methods,,5-15 h,0.067-0.2 h-1,,24-25.7%,,,,,,,10.1016/j.cattod.2017.02.027,2017.0
VOX/Al2O3 modified with boric acid,Metal Oxide,"V, O, Al, B","V, O",Aluminum Oxide,{'propane conversion': '79-82%'},31% after 7 h,"N2:C3H8 95:5, N2:C3H8 = 95:5",600 °C,30 mL/min,0.5 g,PDH,"N2, C3H8",No,"{'Selectivity': 'Promoter addition', 'Stability': 'Promoter addition'}",75%,,,B,7 h,0.12-0.14 h-1,,57.9-61.5%,30 mL/min,,,,,,10.1016/j.cattod.2022.04.015,2022.0
Pt-Sn/MgAl2O4,Alloy,"Pt, Sn","Pt, Sn",MgAl2O4,{'propane conversion': '10-40%'},0.5-2 %/h,C3H8:Ar = 1:9 to 1:1,500-575 ℃,,15-35 g cat min/mmol C3H8,PDH,"C3H8, Ar",No,"{'Conversion': 'Reactor Design', 'Selectivity': 'Reactor Design', 'Stability': 'Reactor Design'}",85-95%,Nanoparticulate Alloys,Impregnation Methods,,,,,8.5-38%,,,,,,,10.3390/membranes3020069,2013.0
GaPt-SCALMS,Alloy,"Ga, Pt",Pt,Silica Oxide-Aluminum Oxide-Silicon Carbide,{'Propane conversion': '7.8-19.2%'},0.049-0.11 h-1,,500-600 °C,8.9 mLN min-1-89 mLN min-1,4900 mLgas gCat.bed-1 h-1,PDH,"Propane, Helium",No,"{'Conversion': 'Preparation Method', 'Selectivity': 'Structural Composition', 'Stability': 'Support Material'}",78.4-99.9%,Single-atom Alloys,Ultrasonication,Ga,14 h,0.07-0.072 h-1,,,,,,,,,10.1021/acscatal.1c01924,2021.0
0.5Pt0.5Ce/Beta-557,Alloy,"Pt, Ce","Pt, Ce",Zeolite,{'propane conversion': '42.2%'},0.013 h-1,"2.5% C3H8, 2.5% H2, Ar",550 ℃,40 mL/min,,PDH,"C3H8, H2, Ar",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",91.9%,Nanoparticulate Alloys,Impregnation Methods,,0.013 h-1,0.013 h-1,,35.7%,,,,,,,10.1016/j.ces.2023.118450,2023.0
BN-T,Metal Oxide,"B, N",B,,{'propane conversion': '43%'},,C3H8:O2:He = 2.5:2.5:balance,600℃,30 mL/min,100 mg,ODH,"C3H8, O2, He",Yes,{'Conversion': 'Catalyst preparation method'},75%,,,,,,,,,,,,,,10.1021/acs.accounts.2c00564,2023.0
10 wt% In2O3/ZrO2,Metal Oxide,"In, O, Zr",In,Zirconia,{'Propane conversion': '84%'},No decline observed,"C3=/H2=20/20, O2/H2=10/20, 0.6 air/propane",550℃,WHSV 2 h-1,0.1 g catalyst,ODH,"Propane, Propylene, Hydrogen, Oxygen, Air",Yes,"{'Selectivity': 'Composition', 'Conversion': 'Process Conditions', 'Stability': 'Support Material'}",99.7%,,,,100+ h,100+ h-1,,33%,,,,,,,10.1016/S0926-860X(99)00224-0,1999.0
6V/UiO-66,Metal Oxide,"V, Zr",V,UiO-66,{'propane conversion': '17.1%'},,"C3H8/O2 = 1, C3H8/O2 = 2, C3H8/O2 = 3",350℃,120 sccm,0.1 g,ODH,"Propane, Oxygen",Yes,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition', 'Propylene productivity': 'Support confinement effects'}",49.7%,,,,,,,,,,,,,,10.1016/j.jcis.2022.09.086,2023.0
0.3Pt/0.5Sn-Si-beta,Alloy,"Pt, Sn",Pt,Silica beta zeolite,{'propane conversion': '27.1%'},0.04 h-1 (550°C),C3H8:N2 = 1:19,550°C,20 mL min-1,"100 mg catalyst, WHSV 1.0 h-1",PDH,"C3H8, N2",No,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",99%,Nanoparticulate Alloys,Impregnation Methods,Sn,24 h,1.0 h-1,,99%,2.3 mol g-1Pt h-1 (550°C),,,,,,10.1039/c9cy01907c,2019.0
Pt-Sn-SBA-15,Alloy,"Pt, Sn",Pt,Silica Oxide,{'propane conversion': '16%'},4% loss (220 min),C3H8:H2 - 8:13 vol%,793 K,150 ml/min,47 gpropane/gcat-h,PDH,"C3H8, H2",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",99%,Nanoparticulate Alloys,Impregnation Methods,Sn,220 min,3.7 h-1,,99%,,,,,,,10.1016/j.cattod.2009.01.002,2009.0
Pt3Ti intermetallic nanoparticles,Alloy,"Pt, Ti",Pt,Ti3C2Tx MXene,{'propane conversion': '15%'},,"2.5% C3H8, 2.5% H2 balanced in N2",550℃,200 cm3 min-1,,PDH,"C3H8, H2, N2",No,{'Selectivity': 'Structural composition'},95%,Intermetallic Compounds,Reactive metal-support interactions,,,,,,,,,,,,10.1038/s41467-018-07502-5,2018.0
Pt-Sn-K/γ-Al2O3,Alloy,"Pt, Sn, K, Al","Pt, Sn",Aluminum Oxide,{'propane conversion': '31-69%'},,1:1 C3H8:Ar,573-873 K,,10-100 mg,PDH,"C3H8, Ar",No,{'Conversion': 'Catalyst composition'},,Nanoparticulate Alloys,Impregnation Methods,K,,,,,,,,,,,10.1016/j.ces.2009.09.007,2010.0
Oxidized carbon nanotubes,Others,C,O,Carbon nanotubes,{},,,,,,ODH,"Propane, Oxygen",Yes,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition'}",,,,,,,,,,,,,,,10.1016/S1872-2067(12)60627-5,2013.0
V-A-G,Metal Oxide,V,V,Graphene,{'propane conversion': '47.02%'},,C3H8/air molar ratio of 0.5,450℃,60 mL/min,0.5 g,ODH,"C3H8, Air",Yes,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",53.93%,,,,,,,26.27%,,,,,,,10.1039/c4cy01108b,2015.0
Pt/alumina catalyst,Metal,Pt,Pt,alumina,{'propane conversion': 'N/A'},,"H2S:C3H8 1:10, H2S:C3H8 10:1",873 K,,,PDH,"Propane (C3H8), Hydrogen sulfide (H2S)",No,{'Selectivity': 'Structural composition'},,,,,,,,,,,,,,,10.1006/jcat.1994.1333,1994.0
Cs-Cr-Mo-Al-O,Metal Oxide,"Cs, Cr, Mo, Al, O","Cr, Mo",Alumina,{'Propane conversion': '8%'},,Propane:Oxygen:Helium,300-340 ℃,75 cm3/min,1 g catalyst,ODH,"Propane, Oxygen, Helium",Yes,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",100%,,,Cs,,,0.13-0.54 atm,100%,,,,,,,10.1016/j.cej.2004.03.006,2004.0
Hierarchical Ni-Al LDH platinum nanocatalyst (LDH-Pt),Alloy,"Ni, Al, Pt",Pt,Layered double hydroxide (LDH),{'Propane conversion': '16.75%'},23.9%,n(H2)/n(C3H8) = 0.25,590℃,,Propane WHSV = 3.0 h-1,PDH,"Propane, Hydrogen",No,{'Stability': 'Structural composition'},,Nanoparticulate Alloys,In Situ Synthesis,,7 h,7 h-1,,,,,,,,,10.1039/c7nj01767g,2017.0
PtSn-LaX,Alloy,"Pt, Sn, La","Pt, Sn",Alumina,{'Propane conversion': '34%'},,,600℃,80 mL/min,,PDH,Propane,No,"{'Stability': 'Structural Composition', 'Selectivity': 'Structural Composition'}",84%,Nanoparticulate Alloys,Impregnation Methods,La,800 min,13.3 h-1,,,,,,,,,10.3390/catal10091042,2020.0
1Pt1In/SBA-15,Alloy,"Pt, In","Pt, In",Silica Oxide,{'propane conversion': '57.06%'},17.43% (28 h),C3H8:H2:N2 = 4:1:15,550℃,100 mL/min,12 L/h/gcat,PDH,"C3H8, H2, N2",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",99.04%,Nanoparticulate Alloys,Impregnation Methods,,28 h,1.000 h-1,,99.80%,,,,,,,10.1016/j.cattod.2022.05.044,2023.0
Zn-modified HZSM-5,Metal Oxide,"Zn, Si, Al",Zn,Zeolite HZSM-5,{'Propane conversion': '50%'},,,873 K,,2 h-1,PDH,Propane,No,"{'Selectivity': 'Catalyst composition', 'Conversion': 'Acidity'}",29%,,,,,,,,,,,,,,10.3390/catal11101138,2021.0
Cr/Zn-Al2O3,Metal Oxide,"Cr, Zn, Al",Cr,Aluminum Oxide,{'propane conversion': '57%'},,,610℃,4.8 ml/min,,PDH,propane,No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",91%,,,Zn,,,,52%,,,,,,,10.1016/j.apcata.2022.118610,2022.0
Gallium oxynitride,Metal Oxide,"Ga, O, N","Ga, O, N",,{'N/A': 'N/A'},,,250-350°C,,,ODH,"Propane, Nitrogen",No,{'Conversion': 'Structural Composition'},,,,,,,,,,,,,,,10.1016/j.snb.2006.05.001,2007.0
Isolated Pt atoms anchored in ≡SiOZn-OH nests in dealuminated Zeolite Beta,Single Atom,"Pt, Zn",Pt,Dealuminated Zeolite Beta,{'Propane conversion': '32%'},0.004 h-1,C3H8:He = 1:3,823 K,,"29,500 h-1",PDH,"C3H8, He",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition', 'Conversion': 'Structural Composition'}",99.4%,,,Zn,160 h,0.00625 h-1,25.3 kPa,99.4%,692 mol C3H6/(g Pt×h×bar),,,,,,10.1021/jacs.1c10261,2021.0
Rhodium-Copper Single Atom Alloy,Single Atom,"Rh, Cu",Rh,Silica Oxide,{'Propane conversion': '100%'},,"1.4 kPa propane, 0.7 kPa hydrogen",623 K,90 ml/min,,PDH,"Propane, Hydrogen",No,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",100%,Single-atom Alloys,Galvanic replacement,,50 hours,50 h-1,1.4 kPa,,,,,,,,10.1126/science.abg8389,2021.0
PtIn/Mg(Al)O/ZnO,Alloy,"Pt, In","Pt, In",ZnO,{'Propane conversion': '51%'},,C3H8:H2:N2 = 8:7:35,600℃,62 mL/min,WHSV = 3 h-1,PDH,"C3H8, H2, N2",No,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",97%,Nanoparticulate Alloys,Impregnation-induced reconstruction,In,30 h,30 h-1,Atmospheric pressure,,,,,,,,10.3390/catal10050485,2020.0
Ir-Sn/SiO2,Alloy,"Ir, Sn",Ir,Silica Oxide,{'propane conversion': '18%'},,,773 K,,,PDH,propane,No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",95%,Nanoparticulate Alloys,Impregnation Methods,Sn,negligible loss of activity,,,,,,,,,,10.1039/c3dt51144h,2013.0
CeO2,Metal Oxide,"Ce, O","Ce, O",,{'Propane conversion': '42%'},,,800K,,,PDH,"C3H8, HBr",No,"{'Conversion': 'Addition of HBr', 'Selectivity': 'Addition of HBr'}",90%,,,Br,,,,,,,,,,,10.1039/d2cp00733a,2022.0
B2O3 supported on SiO2,Metal Oxide,"B, O, Si","B, O",Silica Oxide,{'Propane conversion': '10%'},,,475 oC,10-40 mL/min,25 mg,ODH,"Propane, Oxygen, Nitrogen",Yes,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",80%,,,,,,,,,,,,,,10.1016/j.cattod.2023.114048,2023.0
Niobium- and Tantalum-Doped Pt-Sn/Al2O3,Alloy,"Pt, Sn, Nb, Ta","Pt, Sn",Alumina,{'propane conversion': '98%'},0.02% h-1,C3H8/O2/He = 1/1/8,550℃,30 mL/min,"30,000 h-1",ODH,"C3H8, O2, He",Yes,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",84%,Nanoparticulate Alloys,Impregnation Methods,"Nb, Ta",120 h,0.0083 h-1,,82%,,,,,,,10.1002/cplu.202200405,2023.0
Pt-Sn/γ-Al2O3,Alloy,"Pt, Sn",Pt,γ-Al2O3,{'propane conversion': '78%'},,C3H8/O2/He = 1/1/8,500 °C,120 mL/min,0.2 g,ODH,"C3H8, O2, He",Yes,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",93%,Single-atom Alloys,Impregnation Methods,Sn,320 h,0.0031 h-1,,72.5%,2.4 molC3H8 gcat-1 h-1,,,,,,10.1021/jp4076405,2013.0
PtFe/SiO2,Alloy,"Pt, Fe",Pt,Silica Oxide,{'propane conversion': '~15%'},8.25% after 10 h,C3H8/H2/Ar = 1/1/8,500°C,40 mL/min (total),WHSV = 24 h-1,PDH,"C3H8, H2, Ar",No,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",~99.9%,Nanoparticulate Alloys,Impregnation Methods,Fe,83 h,0.012 h-1,,99.9%,39.52 molpropylene gPt-1 h-1 (initial),,,,,,10.1039/d3cy00060e,2023.0
5ZnO/SiO2,Metal Oxide,"Zn, O",Zn,Silica Oxide,{'propane conversion': '27%'},0.030 h-1,,600 ℃,20 mL/min,,PDH,"propane, hydrogen, argon",No,"{'Conversion': 'Particle size', 'Selectivity': 'Particle size', 'Stability': 'Particle size'}",95%,,,,10 h,0.030 h-1,,,,,,,,,10.1039/d2cy02131e,2023.0
Ga/ZSM-5,Metal,Ga,"Ga+, GaO+",ZSM-5 zeolite,{'single-pass conversion': '2.3-6.2%'},24 to 5% over 30 min,5 vol% C3H8 in He,823 K,100 N ml/min,11.7 h^-1,PDH,"C3H8, He",No,"{'Selectivity': 'Active species', 'Conversion': 'Active species', 'Stability': 'Active species'}",76-88%,,,,90-150 min,0.0067-0.011 h^-1,,76-88%,,,,,,,10.1016/j.jcat.2006.03.004,2006.0
PtIn/Mg(Al)O-4,Alloy,"Pt, In, Mg, Al, O",Pt,Mg(Al)O-4,{'propane conversion': '61.3%'},No deactivation in 12 h,H2:C3H8:Ar = 7:8:35,620℃,WHSV = 3.3 h-1,0.3 g,PDH,"H2, C3H8, Ar",No,"{'Conversion': 'Catalyst composition and structure', 'Selectivity': 'Catalyst composition and structure', 'Stability': 'Catalyst composition and structure'}",95%,Nanoparticulate Alloys,Impregnation Methods,In,12 h,12 h-1,,58.2%,,,,,,,10.1016/j.cej.2015.09.046,2016.0
,Metal Oxide,"V, Mo, Nb, Te, O","V, Mo, Nb, Te",,{'Propane conversion': '60%'},,C3:O2 = 1:1,400°C,,,ODH,"Propane, Oxygen",Yes,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",90%,,,,,,,,,,,,,,10.1016/j.apcata.2020.117914,2021.0
PtIn/Sn-SBA-15,Alloy,"Pt, In",Pt,Silica Oxide,{'propane conversion': '46.9%'},8.5% (after 7 h),C3H8:Ar = 1:4,580 °C,30 mL/min,WHSV = 4.05 h^-1,PDH,"C3H8, Ar",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",99%,Nanoparticulate Alloys,Impregnation Methods,In,8 h,0.125 h^-1,,99%,,,,,,,10.1016/j.mcat.2021.112081,2022.0
Pt/Sn on alumina/silica filaments,Alloy,"Pt, Sn","Pt, Sn",Alumina/Silica,{'Propane conversion': '30%'},,,565-580°C,,,PDH,Propane,No,"{'Selectivity': 'Narrow residence time distribution in microstructured reactor', 'Conversion': 'Hydrogen removal through palladium membrane'}",97%,,Impregnation,,,,,,,,,,,,10.1016/S0009-2509(02)00294-4,2002.0
Potassium-doped chromia/alumina catalyst,Metal Oxide,"Cr, K, Al",Cr,Alumina,{'Propane conversion': '31.7%'},,,873 K,,0.2 g,PDH,"Propyne, Propane",No,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition'}",80%,,,K,,,,,,,,,,,10.1016/j.apcata.2005.04.010,2005.0
MoS2/Zr-doped SiO2-Al2O3,Bifunctional,"Mo, S, Si, O, Al, Zr",MoS2,Zr-doped SiO2-Al2O3,"{'Decalin conversion': '42.0%', 'Phenanthrene conversion': '78.6%'}",,Phenanthrene to decalin ratio 0.1,380°C,,,PDH,"Phenanthrene, Decalin",No,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition'}",,,,Zr,,,,,,,,,,,10.1016/j.cjche.2021.03.015,2021.0
Ex-FeZSM-5,Metal Oxide,Fe,Fe,,"{'Propane conversion': '52%', 'N2O conversion': '86%'}",,C3H8:N2O:Ne=10:10:80,773 K,,3.5 x 10^-2 s g cm^-3,ODH,"C3H8, N2O, Ne",Yes,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",22%,,,,100 min,1.67 h-1,,,,,,22%,,,10.1016/j.apcata.2004.03.003,2004.0
Co-S-1-Ar,Metal Oxide,Co,Co,Silicalite-1,{'propane conversion': '27%'},0.001 h-1,"5% C3H8/Ar, 5% H2/Ar",550°C,10 mL/min,0.050 g,PDH,"C3H8, H2, Ar",No,"{'Conversion': 'Oxygen-free calcination atmosphere', 'Selectivity': 'Oxygen-free calcination atmosphere', 'Stability': 'Oxygen-free calcination atmosphere'}",95%,,,,600 min,0.001 h-1,,25.7%,,,,,,,10.1016/j.mcat.2022.112580,2022.0
Sn/Al2O3-S,Metal Oxide,"Sn, Al, O",Sn,Alumina,{'Propane conversion': '16%'},,C3H8:H2S - 11:1 to 1:0.1,560 ℃,,200 mg catalyst,PDH,"C3H8, H2, H2S, N2",No,"{'Selectivity': 'Structural composition', 'Stability': 'Catalyst preparation method and process conditions'}",98%,,,,10 h,0.1 h^-1,,98%,1.5-2.35 x 10^-9 mol m^-2 s^-1,,,,,,10.1021/acscatal.1c02859,2021.0
Lead chromate (PbCrO4),Metal Oxide,"Pb, Cr","Pb, Cr",,{'Hydrogen conversion': '100%'},Drops to 25% of initial activity after 60 cycles,,550℃,,40 mg,ODH,"Propane, Propene, Hydrogen, Oxygen",Yes,"{'Selectivity': 'Composition', 'Conversion': 'Composition'}",100%,,,,"After 60 cycles, drops to 25% of initial activity",,,,,,,,,,10.1039/b913994j,2009.0
Pt-Sn/Î¸-Al2O3,Alloy,"Pt, Sn","Pt, Sn",Aluminum Oxide,{'Propane conversion': '41.7-42.2%'},,C3H8:H2 = 1:1,893 K,64 mL/min,,PDH,"C3H8, H2",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",83-93.6%,Nanoparticulate Alloys,Impregnation Methods,,,,,34.2-39.5%,,,,,,,10.1007/s11164-015-2300-2,2016.0
WO3/SiO2,Metal Oxide,W,W,SiO2,{'2-butene conversion': '68.8%'},,"4% 2-butene, 8% ethylene",623 K,,0.52 h-1,PDH,"2-Butene, Ethylene",No,"{'Conversion': 'Preparation Method', 'Selectivity': 'Preparation Method', 'Stability': 'Preparation Method'}",59.3%,,,,12 h,12 h-1,,59.3%,,,,,,,10.1039/c8ra01093e,2018.0
6 wt% V/TiO2,Metal Oxide,"V, Ti",V,Titania,{'Propane conversion': '10-35%'},,"C3H8:O2 = 1:1, C3H8:O2 = 1:2, C3H8:O2 = 2:1",100-400℃,24 ml/min,,ODH,"C3H8, O2, N2",Yes,{'Selectivity': 'Degree of vanadium reduction'},10-15%,,,,,,,,,,,,,,10.1016/j.cattod.2005.11.006,2006.0
Nickel single-atom catalyst,Single Atom,Ni,Ni,Silica Oxide,{'propane conversion': '89%'},,C3H8:O2:N2 = 1:0.5:8,550℃,,30000 h-1,ODH,"C3H8, O2, N2",Yes,"{'Selectivity': 'Single atom structure', 'Conversion': 'Single atom structure', 'Stability': 'Single atom structure'}",90%,,,,120 h,0.0083 h-1,,74.7%,2.1 mol/gcat/h,,,,,,10.1002/cjoc.202300504,2023.0
